sample,Original,CellLine,Top50_mean,Top50_std,Top50_n,Bottom50_mean,Bottom50_std,Bottom50_n,Top50_chronos_mean,Bottom50_chronos_mean,Top50_retention_pct,Bottom50_retention_pct,Dependency_contrast_pct
SR786,0.4536534244245136,SR786,0.4536443776214949,6.397055759465724e-05,50,0.2177536437237657,0.2289462034690298,50,0.4999429259736732,-2.183922337982376,99.99800578976556,47.99999999999982,51.99800578976575
HS578T,0.4098049666524419,HS578T,0.401608867319393,0.0579551741767737,50,0.199925015287605,0.2048922892922335,50,0.3010686264852877,-2.19457269138491,97.99999999999996,48.78540563349557,49.21459436650441
786O,0.4369383329427182,786O,0.4194607996250101,0.0864913591349983,50,0.2359463214097394,0.2199794991205832,50,0.2811769300014233,-2.385590209322702,96.00000000000014,53.999913402121095,42.00008659787905
MDAMB231,0.4532880698116829,MDAMB231,0.4442223070400573,0.0641046134004817,50,0.262151529721432,0.2214858094187598,50,0.315854322404771,-2.188414271915124,97.99999969657442,57.8333177465584,40.16668195001602
HOP62,0.4314659187322193,HOP62,0.4314659187322193,3.69668169751549e-16,50,0.2502496233937321,0.2151151725545039,50,0.3224432397523913,-2.2836563429111165,100.0,57.99985874412587,42.00014125587413
MALME3M,0.4498636710080548,MALME3M,0.4318691241677025,0.0890499125331825,50,0.2699182026047951,0.2226247813329406,50,0.4244578029000555,-2.401744729506735,95.99999999999332,59.999999999991616,36.000000000001705
RPMI8226,0.4816704968057623,RPMI8226,0.4720370868696475,0.0681184949177696,50,0.2968374508667478,0.2350700344808956,50,0.4404030232850572,-2.307597780909903,98.00000000000011,61.62666238336164,36.37333761663847
HT29,0.404093510336509,HT29,0.3960116401297794,0.0571474522784844,50,0.2505043626732733,0.1981063998629671,50,0.2565565547048428,-2.559711781498085,98.00000000000016,61.99168169384005,36.00831830616012
NCIH226,0.3961385376412887,NCIH226,0.387894602458049,0.0560130969019816,50,0.245601200585984,0.1942287018112384,50,0.4609909009793114,-2.419427420814515,97.91892623415885,61.9988153761452,35.92011085801363
