sample,Source,Tissue,Cancer,UMAP1,UMAP2,pca_n,umap_seed
TCGA-PK-A5H9-01,TCGA Tumor,adrenal,ACC,-15.897858,4.028787,30,42
TCGA-OR-A5LT-01,TCGA Tumor,adrenal,ACC,-15.852171,3.7274957,30,42
TCGA-OR-A5LN-01,TCGA Tumor,adrenal,ACC,-15.741608,3.635577,30,42
TCGA-OR-A5JB-01,TCGA Tumor,adrenal,ACC,-15.860062,3.996603,30,42
TCGA-OR-A5LG-01,TCGA Tumor,adrenal,ACC,-15.746725,3.6105983,30,42
TCGA-OR-A5J8-01,TCGA Tumor,adrenal,ACC,-15.918689,4.1061673,30,42
TCGA-OR-A5JV-01,TCGA Tumor,adrenal,ACC,-15.806298,4.018771,30,42
TCGA-OU-A5PI-01,TCGA Tumor,adrenal,ACC,-16.047915,3.7856407,30,42
TCGA-OR-A5KO-01,TCGA Tumor,adrenal,ACC,-15.68139,3.793531,30,42
TCGA-OR-A5K8-01,TCGA Tumor,adrenal,ACC,-15.823202,3.6989844,30,42
TCGA-OR-A5JP-01,TCGA Tumor,adrenal,ACC,-15.741484,3.63772,30,42
TCGA-OR-A5L9-01,TCGA Tumor,adrenal,ACC,-5.0485473,4.1962314,30,42
TCGA-OR-A5J2-01,TCGA Tumor,adrenal,ACC,-16.042149,4.030907,30,42
TCGA-OR-A5JX-01,TCGA Tumor,adrenal,ACC,-15.178569,3.1974313,30,42
TCGA-PA-A5YG-01,TCGA Tumor,adrenal,ACC,-15.863335,3.988126,30,42
TCGA-OR-A5LD-01,TCGA Tumor,adrenal,ACC,-5.094951,4.2097297,30,42
TCGA-OR-A5LL-01,TCGA Tumor,adrenal,ACC,-16.222578,3.86049,30,42
TCGA-OR-A5KW-01,TCGA Tumor,adrenal,ACC,-15.771824,3.8825595,30,42
TCGA-OR-A5J9-01,TCGA Tumor,adrenal,ACC,-15.681567,3.7571397,30,42
TCGA-OR-A5J6-01,TCGA Tumor,adrenal,ACC,-15.622611,3.8223689,30,42
TCGA-OR-A5K3-01,TCGA Tumor,adrenal,ACC,-15.569752,3.570573,30,42
TCGA-OR-A5JJ-01,TCGA Tumor,adrenal,ACC,-16.189325,3.9239526,30,42
TCGA-OR-A5LJ-01,TCGA Tumor,adrenal,ACC,-15.700174,3.6518807,30,42
TCGA-OR-A5JM-01,TCGA Tumor,adrenal,ACC,-15.026711,2.782647,30,42
TCGA-PK-A5HB-01,TCGA Tumor,adrenal,ACC,-15.973404,4.072184,30,42
TCGA-OR-A5JF-01,TCGA Tumor,adrenal,ACC,-15.942818,4.0205536,30,42
TCGA-OR-A5JR-01,TCGA Tumor,adrenal,ACC,-15.705962,3.8742704,30,42
TCGA-OR-A5K9-01,TCGA Tumor,adrenal,ACC,-15.613228,3.663092,30,42
TCGA-OR-A5LM-01,TCGA Tumor,adrenal,ACC,-15.715252,3.697074,30,42
TCGA-OR-A5KZ-01,TCGA Tumor,adrenal,ACC,-15.863301,4.1170835,30,42
TCGA-PK-A5H8-01,TCGA Tumor,adrenal,ACC,-15.473917,3.4754577,30,42
TCGA-OR-A5J7-01,TCGA Tumor,adrenal,ACC,-15.796627,4.045894,30,42
TCGA-P6-A5OG-01,TCGA Tumor,adrenal,ACC,-16.095102,3.8144445,30,42
TCGA-OR-A5K1-01,TCGA Tumor,adrenal,ACC,-15.923148,4.1199827,30,42
TCGA-OR-A5JO-01,TCGA Tumor,adrenal,ACC,-16.188906,3.878963,30,42
TCGA-OR-A5KY-01,TCGA Tumor,adrenal,ACC,-15.642352,3.6714838,30,42
TCGA-OR-A5KU-01,TCGA Tumor,adrenal,ACC,-16.2045,3.7030756,30,42
TCGA-OR-A5JW-01,TCGA Tumor,adrenal,ACC,-15.696641,3.8334925,30,42
TCGA-OR-A5L3-01,TCGA Tumor,adrenal,ACC,-15.571276,3.576217,30,42
TCGA-OR-A5JS-01,TCGA Tumor,adrenal,ACC,-15.56464,3.5779438,30,42
TCGA-OR-A5JA-01,TCGA Tumor,adrenal,ACC,-15.685534,3.7252502,30,42
TCGA-OR-A5J5-01,TCGA Tumor,adrenal,ACC,-15.377965,3.3014085,30,42
TCGA-OR-A5JL-01,TCGA Tumor,adrenal,ACC,-16.177937,3.8054621,30,42
TCGA-OR-A5JZ-01,TCGA Tumor,adrenal,ACC,-16.288157,3.7002678,30,42
TCGA-OR-A5JI-01,TCGA Tumor,adrenal,ACC,-15.829346,3.7350178,30,42
TCGA-OR-A5LE-01,TCGA Tumor,adrenal,ACC,-15.783637,4.0058446,30,42
TCGA-OR-A5LA-01,TCGA Tumor,adrenal,ACC,-15.80206,3.803027,30,42
TCGA-PK-A5HA-01,TCGA Tumor,adrenal,ACC,-16.128958,3.8200834,30,42
TCGA-OR-A5JQ-01,TCGA Tumor,adrenal,ACC,-16.025488,4.112589,30,42
TCGA-OR-A5L5-01,TCGA Tumor,adrenal,ACC,-16.200663,3.756183,30,42
TCGA-OR-A5J3-01,TCGA Tumor,adrenal,ACC,-15.725864,3.7372472,30,42
TCGA-OR-A5LP-01,TCGA Tumor,adrenal,ACC,-16.26438,3.7012782,30,42
TCGA-OR-A5LS-01,TCGA Tumor,adrenal,ACC,-16.242796,3.9084258,30,42
TCGA-OR-A5LH-01,TCGA Tumor,adrenal,ACC,-15.820521,4.1258335,30,42
TCGA-OR-A5JT-01,TCGA Tumor,adrenal,ACC,-15.796991,3.750995,30,42
TCGA-OR-A5JG-01,TCGA Tumor,adrenal,ACC,-15.569083,3.6221762,30,42
TCGA-OR-A5JC-01,TCGA Tumor,adrenal,ACC,-15.892918,3.6914518,30,42
TCGA-OR-A5LO-01,TCGA Tumor,adrenal,ACC,-15.598192,3.56709,30,42
TCGA-OR-A5JE-01,TCGA Tumor,adrenal,ACC,-15.640263,3.8021302,30,42
TCGA-OR-A5L8-01,TCGA Tumor,adrenal,ACC,-15.599683,3.746557,30,42
TCGA-OR-A5LC-01,TCGA Tumor,adrenal,ACC,-15.604068,3.7259502,30,42
TCGA-OR-A5KX-01,TCGA Tumor,adrenal,ACC,-13.85509,2.1288955,30,42
TCGA-OR-A5K5-01,TCGA Tumor,adrenal,ACC,-15.697808,3.8436642,30,42
TCGA-OR-A5K4-01,TCGA Tumor,adrenal,ACC,-15.529215,3.5569043,30,42
TCGA-OR-A5J1-01,TCGA Tumor,adrenal,ACC,-15.596896,3.6356478,30,42
TCGA-OR-A5LB-01,TCGA Tumor,adrenal,ACC,-15.9127035,3.7152443,30,42
TCGA-OR-A5JY-01,TCGA Tumor,adrenal,ACC,-15.74164,3.9918067,30,42
TCGA-OR-A5K0-01,TCGA Tumor,adrenal,ACC,-15.75182,3.9634955,30,42
TCGA-OR-A5L6-01,TCGA Tumor,adrenal,ACC,-15.764303,3.7056084,30,42
TCGA-OR-A5KV-01,TCGA Tumor,adrenal,ACC,-15.253924,3.2493339,30,42
TCGA-OR-A5K6-01,TCGA Tumor,adrenal,ACC,-15.660194,3.7634058,30,42
TCGA-P6-A5OF-01,TCGA Tumor,adrenal,ACC,-15.796263,3.9082482,30,42
TCGA-OR-A5LK-01,TCGA Tumor,adrenal,ACC,-15.940012,3.6502104,30,42
TCGA-OR-A5JK-01,TCGA Tumor,adrenal,ACC,-15.789293,3.8055367,30,42
TCGA-OR-A5JD-01,TCGA Tumor,adrenal,ACC,-15.61788,3.7790616,30,42
TCGA-OR-A5L4-01,TCGA Tumor,adrenal,ACC,-15.715851,3.9040856,30,42
TCGA-OR-A5KT-01,TCGA Tumor,adrenal,ACC,-15.955426,4.1285295,30,42
GTEX-13OW7-2726-SM-5L3HN,GTEx,adrenal,GTEX,-15.922119,3.7782164,30,42
GTEX-R55G-0126-SM-48FDS,GTEx,adrenal,GTEX,-16.089216,4.3146763,30,42
GTEX-OIZH-1326-SM-3NB1H,GTEx,adrenal,GTEX,-15.730063,4.0106764,30,42
GTEX-13O61-0126-SM-5KM4P,GTEx,adrenal,GTEX,-15.851394,4.086613,30,42
GTEX-13FH7-0226-SM-5IFGG,GTEx,adrenal,GTEX,-16.070688,4.2321243,30,42
GTEX-13111-0326-SM-5DUXF,GTEx,adrenal,GTEX,-16.037407,4.2119904,30,42
GTEX-146FR-1526-SM-5SIB8,GTEx,adrenal,GTEX,-15.782112,4.0563607,30,42
GTEX-U4B1-0126-SM-4DXSN,GTEx,adrenal,GTEX,-16.220112,3.8185399,30,42
GTEX-12WSJ-0126-SM-5GCOM,GTEx,adrenal,GTEX,-16.22754,3.945545,30,42
GTEX-XMK1-0226-SM-4B65D,GTEx,adrenal,GTEX,-16.067842,4.109491,30,42
GTEX-Y5V6-1926-SM-5IFIL,GTEx,adrenal,GTEX,-16.15418,3.7733448,30,42
GTEX-13O3O-1626-SM-5KM1O,GTEx,adrenal,GTEX,-16.15914,3.7297378,30,42
GTEX-T6MO-0126-SM-4DM6X,GTEx,adrenal,GTEX,-15.757514,4.030297,30,42
GTEX-V955-0126-SM-4JBH5,GTEx,adrenal,GTEX,-16.218662,3.6823456,30,42
GTEX-11EQ9-0126-SM-5986I,GTEx,adrenal,GTEX,-15.940594,4.1467705,30,42
GTEX-PLZ6-0226-SM-3P61I,GTEx,adrenal,GTEX,-16.288694,3.7948709,30,42
GTEX-1399R-0326-SM-5KM1X,GTEx,adrenal,GTEX,-16.260885,3.7157354,30,42
GTEX-QXCU-1326-SM-48FE2,GTEx,adrenal,GTEX,-16.147509,3.7602077,30,42
GTEX-Q2AH-0126-SM-48U2B,GTEx,adrenal,GTEX,-16.259714,3.8515291,30,42
GTEX-YFCO-0126-SM-4W1YT,GTEx,adrenal,GTEX,-16.17095,3.874782,30,42
GTEX-132AR-1726-SM-5EGHQ,GTEx,adrenal,GTEX,-16.06031,4.1961546,30,42
GTEX-V1D1-0226-SM-4JBHG,GTEx,adrenal,GTEX,-16.18292,3.8481517,30,42
GTEX-PLZ5-0326-SM-3P614,GTEx,adrenal,GTEX,-15.955622,3.957565,30,42
GTEX-Y114-0526-SM-4TT8V,GTEx,adrenal,GTEX,-16.089102,4.302404,30,42
GTEX-X4EO-1726-SM-4QARN,GTEx,adrenal,GTEX,-16.238092,3.744207,30,42
GTEX-QLQW-0226-SM-447BJ,GTEx,adrenal,GTEX,-15.693634,3.9891298,30,42
GTEX-147F4-2526-SM-5NQBB,GTEx,adrenal,GTEX,-16.248117,3.7030487,30,42
GTEX-ZLV1-0226-SM-4WWC1,GTEx,adrenal,GTEX,-15.767842,4.059953,30,42
GTEX-U3ZN-0826-SM-4DXSZ,GTEx,adrenal,GTEX,-16.20256,4.184734,30,42
GTEX-132QS-0126-SM-5IFH9,GTEx,adrenal,GTEX,-16.076422,4.21175,30,42
GTEX-S341-0126-SM-4AD64,GTEx,adrenal,GTEX,-15.796577,4.0501738,30,42
GTEX-ZLWG-0126-SM-4WWC5,GTEx,adrenal,GTEX,-16.048223,4.2573013,30,42
GTEX-111YS-0126-SM-5987T,GTEx,adrenal,GTEX,-16.2093,3.8149064,30,42
GTEX-145LT-0126-SM-5S2QJ,GTEx,adrenal,GTEX,-16.105606,4.2189226,30,42
GTEX-13FTW-0126-SM-5IJED,GTEx,adrenal,GTEX,-16.073723,4.2817087,30,42
GTEX-VJYA-0526-SM-4KL1R,GTEx,adrenal,GTEX,-16.07652,4.272838,30,42
GTEX-12WSL-0326-SM-5CVMK,GTEx,adrenal,GTEX,-16.018602,4.2684746,30,42
GTEX-11P7K-0126-SM-5986E,GTEx,adrenal,GTEX,-16.162872,3.7771223,30,42
GTEX-12696-0626-SM-5EGGD,GTEx,adrenal,GTEX,-15.725673,4.0113454,30,42
GTEX-1211K-0126-SM-59HJE,GTEx,adrenal,GTEX,-16.191114,4.181372,30,42
GTEX-X4LF-0126-SM-4QAS7,GTEx,adrenal,GTEX,-16.06839,4.238983,30,42
GTEX-13O1R-2326-SM-5IJF9,GTEx,adrenal,GTEX,-15.931136,4.1766524,30,42
GTEX-Q734-0126-SM-48U1E,GTEx,adrenal,GTEX,-15.824014,4.091958,30,42
GTEX-Y9LG-0126-SM-5Q59W,GTEx,adrenal,GTEX,-16.190548,3.835414,30,42
GTEX-S4Q7-0226-SM-4AD5O,GTEx,adrenal,GTEX,-16.020905,4.1481214,30,42
GTEX-U3ZM-0226-SM-4DXTA,GTEx,adrenal,GTEX,-15.833555,4.0913563,30,42
GTEX-R55C-0226-SM-48FEO,GTEx,adrenal,GTEX,-16.13389,3.7268312,30,42
GTEX-QMRM-0126-SM-4R1K9,GTEx,adrenal,GTEX,-16.011526,4.157664,30,42
GTEX-XUZC-0226-SM-4BOO7,GTEx,adrenal,GTEX,-16.100224,4.22467,30,42
GTEX-WY7C-0326-SM-4OND5,GTEx,adrenal,GTEX,-16.228743,3.8650374,30,42
GTEX-131XG-1326-SM-5DUX4,GTEx,adrenal,GTEX,-16.094805,4.3329864,30,42
GTEX-14DAQ-1826-SM-5S2VV,GTEx,adrenal,GTEX,-15.708267,3.9009483,30,42
GTEX-ZZPU-1226-SM-5N9CK,GTEx,adrenal,GTEX,-16.088737,4.342419,30,42
GTEX-11DXY-1626-SM-5H12L,GTEx,adrenal,GTEX,-16.118504,3.7795396,30,42
GTEX-13PL7-1026-SM-5MR5C,GTEx,adrenal,GTEX,-16.009346,4.2127194,30,42
GTEX-ZYVF-1626-SM-5N9EH,GTEx,adrenal,GTEX,-15.737624,3.9648905,30,42
GTEX-O5YT-1326-SM-3MJGR,GTEx,adrenal,GTEX,-16.097338,4.316111,30,42
GTEX-14753-1726-SM-5NQ9X,GTEx,adrenal,GTEX,-15.724694,3.7745528,30,42
GTEX-ZVT2-0826-SM-5GIEO,GTEx,adrenal,GTEX,-16.080084,4.3106055,30,42
GTEX-13W3W-1326-SM-5LU4T,GTEx,adrenal,GTEX,-16.210157,4.1413155,30,42
GTEX-XYKS-0926-SM-4BRVG,GTEx,adrenal,GTEX,-16.114838,3.733445,30,42
GTEX-PWCY-0226-SM-48TD8,GTEx,adrenal,GTEX,-16.172562,3.740986,30,42
GTEX-SUCS-0526-SM-4DM56,GTEx,adrenal,GTEX,-16.103394,4.3424025,30,42
GTEX-R53T-0226-SM-48FEH,GTEx,adrenal,GTEX,-15.737284,4.04026,30,42
GTEX-11EMC-0526-SM-5EGJN,GTEx,adrenal,GTEX,-15.853813,4.1227107,30,42
GTEX-111CU-0126-SM-5GZWZ,GTEx,adrenal,GTEX,-16.029816,4.0584836,30,42
GTEX-Y5V5-1326-SM-4V6G9,GTEx,adrenal,GTEX,-15.785224,3.9332447,30,42
GTEX-XQ3S-1726-SM-4BOOD,GTEx,adrenal,GTEX,-15.676449,3.9835942,30,42
GTEX-13PVR-0226-SM-5RQJI,GTEx,adrenal,GTEX,-15.736509,4.025236,30,42
GTEX-ZA64-0226-SM-5HL9C,GTEx,adrenal,GTEX,-16.189629,3.81474,30,42
GTEX-QLQ7-0126-SM-4R1JW,GTEx,adrenal,GTEX,-16.195107,3.8139818,30,42
GTEX-ZLFU-0826-SM-4WWBP,GTEx,adrenal,GTEX,-16.147264,4.2320123,30,42
GTEX-OHPK-1326-SM-3MJGN,GTEx,adrenal,GTEX,-15.940718,4.0510817,30,42
GTEX-12WSN-0926-SM-5GCN1,GTEx,adrenal,GTEX,-15.996617,3.7386272,30,42
GTEX-14BMU-0126-SM-5S2Q9,GTEx,adrenal,GTEX,-16.098722,4.1296954,30,42
GTEX-REY6-1726-SM-48FDL,GTEx,adrenal,GTEX,-15.735606,4.0265465,30,42
GTEX-11DXX-0126-SM-5EGH7,GTEx,adrenal,GTEX,-16.141092,3.7860873,30,42
GTEX-13OVI-1226-SM-5J2ME,GTEx,adrenal,GTEX,-16.148949,3.9194412,30,42
GTEX-OXRK-0126-SM-3NB1E,GTEx,adrenal,GTEX,-16.174349,3.8201227,30,42
GTEX-ZYWO-0126-SM-5GZWQ,GTEx,adrenal,GTEX,-16.035034,4.2908015,30,42
GTEX-131XF-0126-SM-5DUVF,GTEx,adrenal,GTEX,-16.276413,3.7005942,30,42
GTEX-1122O-0326-SM-5H124,GTEx,adrenal,GTEX,-16.25377,3.788748,30,42
GTEX-RWSA-1726-SM-47JX7,GTEx,adrenal,GTEX,-15.844298,3.912253,30,42
GTEX-YB5E-0226-SM-5IFHI,GTEx,adrenal,GTEX,-15.824475,4.129925,30,42
GTEX-P4QS-1326-SM-3NMCD,GTEx,adrenal,GTEX,-16.104094,4.2296925,30,42
GTEX-WQUQ-0126-SM-4OOSS,GTEx,adrenal,GTEX,-16.046696,4.2535577,30,42
GTEX-RUSQ-0226-SM-47JWT,GTEx,adrenal,GTEX,-15.992126,4.1891036,30,42
GTEX-139YR-0126-SM-5IJEY,GTEx,adrenal,GTEX,-16.178804,4.259083,30,42
GTEX-11XUK-0126-SM-5CVLK,GTEx,adrenal,GTEX,-15.928458,4.1701603,30,42
GTEX-Y3IK-0226-SM-51MRJ,GTEx,adrenal,GTEX,-15.873839,4.1615753,30,42
GTEX-Q2AI-0226-SM-48U1D,GTEx,adrenal,GTEX,-15.89644,4.0568132,30,42
GTEX-WHPG-1526-SM-4M1ZK,GTEx,adrenal,GTEX,-16.265368,3.934047,30,42
GTEX-13D11-0426-SM-5LZYA,GTEx,adrenal,GTEX,-16.12959,4.135224,30,42
GTEX-11DXZ-0226-SM-5EGGZ,GTEx,adrenal,GTEX,-15.7394285,4.08269,30,42
GTEX-QDVN-0426-SM-48TZ6,GTEx,adrenal,GTEX,-16.112465,4.290544,30,42
GTEX-14H4A-0226-SM-5SI6Q,GTEx,adrenal,GTEX,-16.234388,4.107835,30,42
GTEX-OHPL-1326-SM-3MJGG,GTEx,adrenal,GTEX,-15.985158,4.310335,30,42
GTEX-YF7O-0126-SM-5IFIR,GTEx,adrenal,GTEX,-16.230429,3.8497343,30,42
GTEX-ZF2S-0126-SM-4WKFO,GTEx,adrenal,GTEX,-16.207527,4.172785,30,42
GTEX-13O21-0126-SM-5IJE8,GTEx,adrenal,GTEX,-15.929708,4.025935,30,42
GTEX-11GSP-0326-SM-5A5KW,GTEx,adrenal,GTEX,-15.813424,3.824071,30,42
GTEX-12WSG-0726-SM-5EGIG,GTEx,adrenal,GTEX,-15.817213,4.127305,30,42
GTEX-12WSD-2126-SM-5LZWK,GTEx,adrenal,GTEX,-16.298437,3.8122184,30,42
GTEX-145MN-0226-SM-5QGPY,GTEx,adrenal,GTEX,-16.0809,4.3447375,30,42
GTEX-NFK9-1726-SM-3TW8P,GTEx,adrenal,GTEX,-15.726546,3.986621,30,42
GTEX-S32W-0126-SM-4AD61,GTEx,adrenal,GTEX,-15.828867,4.1264296,30,42
GTEX-QCQG-0126-SM-48U27,GTEx,adrenal,GTEX,-16.127403,4.31114,30,42
GTEX-XV7Q-0226-SM-4BRVL,GTEx,adrenal,GTEX,-15.788536,4.1719766,30,42
GTEX-ZDTT-0126-SM-4WKHA,GTEx,adrenal,GTEX,-15.885295,4.1483603,30,42
GTEX-11I78-1826-SM-5A5M4,GTEx,adrenal,GTEX,-16.246624,3.7043533,30,42
GTEX-OOBK-3125-SM-3LK5R,GTEx,adrenal,GTEX,-16.320503,3.7059276,30,42
GTEX-14A5I-2126-SM-5NQA8,GTEx,adrenal,GTEX,-15.96428,3.804095,30,42
GTEX-12WSK-0326-SM-5GCOJ,GTEx,adrenal,GTEX,-16.091915,4.3290977,30,42
GTEX-VUSG-1526-SM-4KKZH,GTEx,adrenal,GTEX,-16.314827,3.784271,30,42
GTEX-O5YV-1126-SM-3LK73,GTEx,adrenal,GTEX,-16.067945,3.8199778,30,42
GTEX-WYVS-0226-SM-4ONDK,GTEx,adrenal,GTEX,-15.990671,4.2405148,30,42
GTEX-ZYFG-0926-SM-5BC5U,GTEx,adrenal,GTEX,-16.114422,4.165419,30,42
GTEX-11NSD-0226-SM-5A5LR,GTEx,adrenal,GTEX,-16.0961,4.3446183,30,42
GTEX-TKQ2-0226-SM-4DM6V,GTEx,adrenal,GTEX,-16.196938,4.1968136,30,42
GTEX-148VJ-1626-SM-5QGPH,GTEx,adrenal,GTEX,-15.820724,4.040128,30,42
GTEX-11TT1-0126-SM-5LUAA,GTEx,adrenal,GTEX,-16.209272,3.7730315,30,42
GTEX-1399U-0226-SM-5P9J2,GTEx,adrenal,GTEX,-16.216217,4.215617,30,42
GTEX-QEG5-1826-SM-4R1JP,GTEx,adrenal,GTEX,-16.081125,3.7551978,30,42
GTEX-13N11-0826-SM-5IJFP,GTEx,adrenal,GTEX,-16.221933,4.2120314,30,42
GTEX-ZVP2-0126-SM-5NQ7D,GTEx,adrenal,GTEX,-16.246254,3.949844,30,42
GTEX-1399S-0426-SM-5IFG5,GTEx,adrenal,GTEX,-16.254354,3.752728,30,42
GTEX-WFG8-0126-SM-4LVMH,GTEx,adrenal,GTEX,-15.712182,4.0260806,30,42
TCGA-GV-A3QK-01,TCGA Tumor,bladder,BLCA,20.98396,-0.30626833,30,42
TCGA-DK-A1AA-01,TCGA Tumor,bladder,BLCA,20.91296,-0.414479,30,42
TCGA-GC-A3RC-01,TCGA Tumor,bladder,BLCA,20.725529,-0.5473787,30,42
TCGA-MV-A51V-01,TCGA Tumor,bladder,BLCA,19.765915,-0.1553661,30,42
TCGA-DK-A6B0-01,TCGA Tumor,bladder,BLCA,21.045933,-0.3189115,30,42
TCGA-FD-A5BS-01,TCGA Tumor,bladder,BLCA,19.612951,-0.26840997,30,42
TCGA-DK-A1AD-01,TCGA Tumor,bladder,BLCA,19.598505,-0.35347986,30,42
TCGA-XF-AAMQ-01,TCGA Tumor,bladder,BLCA,20.96515,-0.4176118,30,42
TCGA-FT-A3EE-01,TCGA Tumor,bladder,BLCA,20.78338,-0.07798242,30,42
TCGA-ZF-AA4T-01,TCGA Tumor,bladder,BLCA,19.919096,0.23718125,30,42
TCGA-E7-A3X6-01,TCGA Tumor,bladder,BLCA,19.62093,-0.65346044,30,42
TCGA-FD-A6TG-01,TCGA Tumor,bladder,BLCA,19.614439,-0.3778428,30,42
TCGA-FD-A43S-01,TCGA Tumor,bladder,BLCA,20.062696,0.31332076,30,42
TCGA-XF-A8HE-01,TCGA Tumor,bladder,BLCA,19.423113,-0.6389713,30,42
TCGA-UY-A8OC-01,TCGA Tumor,bladder,BLCA,20.363443,-0.6885081,30,42
TCGA-BT-A42F-01,TCGA Tumor,bladder,BLCA,21.119524,-0.17770793,30,42
TCGA-UY-A9PF-01,TCGA Tumor,bladder,BLCA,20.855946,-0.0010074739,30,42
TCGA-DK-A3IS-01,TCGA Tumor,bladder,BLCA,19.33453,-0.62123156,30,42
TCGA-E5-A4U1-01,TCGA Tumor,bladder,BLCA,19.55485,-0.57967544,30,42
TCGA-ZF-AA58-01,TCGA Tumor,bladder,BLCA,20.766855,-0.46251556,30,42
TCGA-XF-A8HF-01,TCGA Tumor,bladder,BLCA,20.35406,0.030185373,30,42
TCGA-BL-A13I-01,TCGA Tumor,bladder,BLCA,20.257687,-0.72375274,30,42
TCGA-ZF-AA4W-01,TCGA Tumor,bladder,BLCA,20.861946,-0.32887715,30,42
TCGA-UY-A9PA-01,TCGA Tumor,bladder,BLCA,20.598047,-0.12259694,30,42
TCGA-E5-A2PC-01,TCGA Tumor,bladder,BLCA,19.488907,-0.5288445,30,42
TCGA-UY-A9PE-01,TCGA Tumor,bladder,BLCA,19.230354,-0.7475931,30,42
TCGA-C4-A0F7-01,TCGA Tumor,bladder,BLCA,20.7182,-0.32211497,30,42
TCGA-ZF-AA56-01,TCGA Tumor,bladder,BLCA,19.75441,-0.24146628,30,42
TCGA-ZF-A9R9-01,TCGA Tumor,bladder,BLCA,20.092014,0.34544486,30,42
TCGA-XF-A8HB-01,TCGA Tumor,bladder,BLCA,21.052221,-0.12280399,30,42
TCGA-DK-AA6S-01,TCGA Tumor,bladder,BLCA,19.51682,-0.56675625,30,42
TCGA-KQ-A41S-01,TCGA Tumor,bladder,BLCA,20.58438,-0.35057342,30,42
TCGA-UY-A78K-01,TCGA Tumor,bladder,BLCA,19.563507,-0.420183,30,42
TCGA-XF-A9T0-01,TCGA Tumor,bladder,BLCA,19.891424,0.16580015,30,42
TCGA-ZF-AA51-01,TCGA Tumor,bladder,BLCA,19.982422,0.23550716,30,42
TCGA-DK-AA6Q-01,TCGA Tumor,bladder,BLCA,20.682116,0.0050581936,30,42
TCGA-YF-AA3M-01,TCGA Tumor,bladder,BLCA,19.270748,-0.6805784,30,42
TCGA-UY-A78N-01,TCGA Tumor,bladder,BLCA,20.973957,-0.43950745,30,42
TCGA-CF-A7I0-01,TCGA Tumor,bladder,BLCA,20.841816,-0.352492,30,42
TCGA-XF-AAMX-01,TCGA Tumor,bladder,BLCA,19.324675,-0.65137625,30,42
TCGA-XF-A9T8-01,TCGA Tumor,bladder,BLCA,19.53763,-0.6287848,30,42
TCGA-E7-A6MF-01,TCGA Tumor,bladder,BLCA,21.028217,-0.23922607,30,42
TCGA-GC-A3YS-01,TCGA Tumor,bladder,BLCA,19.504595,-0.42113596,30,42
TCGA-K4-A54R-11,TCGA Normal,bladder,BLCA,20.008446,0.011906619,30,42
TCGA-XF-AAMG-01,TCGA Tumor,bladder,BLCA,19.729763,-0.22057463,30,42
TCGA-GD-A3OQ-01,TCGA Tumor,bladder,BLCA,20.40437,-0.6535142,30,42
TCGA-CF-A8HY-01,TCGA Tumor,bladder,BLCA,19.54589,-0.46299362,30,42
TCGA-ZF-A9RL-01,TCGA Tumor,bladder,BLCA,20.890692,-0.32259077,30,42
TCGA-GC-A4ZW-01,TCGA Tumor,bladder,BLCA,20.982529,-0.07526292,30,42
TCGA-K4-A4AC-01,TCGA Tumor,bladder,BLCA,19.739439,-0.67232287,30,42
TCGA-DK-A3X1-01,TCGA Tumor,bladder,BLCA,20.338186,0.15142266,30,42
TCGA-GD-A3OP-01,TCGA Tumor,bladder,BLCA,20.545757,-0.06122991,30,42
TCGA-FD-A3SL-01,TCGA Tumor,bladder,BLCA,19.430336,-0.56410104,30,42
TCGA-XF-A9T3-01,TCGA Tumor,bladder,BLCA,19.517342,-0.49847597,30,42
TCGA-FD-A6TF-01,TCGA Tumor,bladder,BLCA,21.092972,-0.11979091,30,42
TCGA-GC-A3BM-11,TCGA Normal,bladder,BLCA,19.61315,-0.41068617,30,42
TCGA-K4-A5RI-11,TCGA Normal,bladder,BLCA,20.428715,-0.2809158,30,42
TCGA-XF-AAMW-01,TCGA Tumor,bladder,BLCA,20.360096,-0.71168315,30,42
TCGA-FD-A43N-01,TCGA Tumor,bladder,BLCA,20.789589,-0.10650903,30,42
TCGA-BL-A13J-11,TCGA Normal,bladder,BLCA,20.285557,-0.42439497,30,42
TCGA-XF-A8HH-01,TCGA Tumor,bladder,BLCA,20.822557,-0.10717383,30,42
TCGA-K4-A3WU-01,TCGA Tumor,bladder,BLCA,19.565025,-0.4288283,30,42
TCGA-CF-A47V-01,TCGA Tumor,bladder,BLCA,20.938726,-0.4406963,30,42
TCGA-5N-A9KI-01,TCGA Tumor,bladder,BLCA,19.40887,-0.5020534,30,42
TCGA-FD-A3NA-01,TCGA Tumor,bladder,BLCA,19.983803,0.3053622,30,42
TCGA-DK-A3X2-01,TCGA Tumor,bladder,BLCA,21.08928,-0.28083608,30,42
TCGA-CF-A3MG-01,TCGA Tumor,bladder,BLCA,21.031591,-0.4254956,30,42
TCGA-E5-A4TZ-01,TCGA Tumor,bladder,BLCA,19.579557,-0.5956813,30,42
TCGA-ZF-A9R4-01,TCGA Tumor,bladder,BLCA,20.519903,-0.32202438,30,42
TCGA-GC-A3OO-01,TCGA Tumor,bladder,BLCA,20.857191,9.7387616e-05,30,42
TCGA-YC-A9TC-01,TCGA Tumor,bladder,BLCA,21.067625,-0.04558375,30,42
TCGA-YF-AA3L-01,TCGA Tumor,bladder,BLCA,20.252672,-0.10545451,30,42
