Group,count,mean,median,std
GTEx kidney,27,17.460625094917862,16.119729450551493,3.951470230633008
TCGA normal kidney,104,15.777067082848447,15.40434608243143,3.6474865111433776
KIRC tumor,530,20.613906083253003,19.594519217951593,5.692499104568871
KIRP tumor,288,19.077715095809804,17.573781333858115,6.981053847454272
