condition,cancer,pathway,score,split,n_total,n_each,low_events,high_events,low_event_rate,high_event_rate,low_score_max,high_score_min,logrank_stat,logrank_p,HR_high_vs_low,ci_low,ci_high,cox_p,n_present_reactions,n_variable_reactions,present_reactions,variable_reactions,logrank_q_BH_2_tests
Mutation-adjusted,LUAD,glycolysis_core,reaction_zscore_mean_abs_flux,low25_high25,500,125,43,54,0.344,0.432,-0.2940985182837246,0.28597689412520383,8.139521118061982,0.004331072062333318,1.7969077350487592,1.1948627056118521,2.702299932128733,0.004875099107836583,11,11,MAR04394;MAR04381;MAR04379;MAR04375;MAR04391;MAR04373;MAR04368;MAR04365;MAR04363;MAR04358;MAR04388,MAR04394;MAR04381;MAR04379;MAR04375;MAR04391;MAR04373;MAR04368;MAR04365;MAR04363;MAR04358;MAR04388,0.008662144124666636
No mutation,LUAD,glycolysis_core,reaction_zscore_mean_abs_flux,low25_high25,500,125,50,55,0.4,0.44,-0.3604086277487989,0.35889223153636507,3.1005277104469937,0.07826691992709262,1.4153688742644648,0.9596626503539277,2.0874721439850177,0.07972016442884415,11,10,MAR04394;MAR04381;MAR04379;MAR04375;MAR04391;MAR04373;MAR04368;MAR04365;MAR04363;MAR04358;MAR04388,MAR04381;MAR04379;MAR04375;MAR04391;MAR04373;MAR04368;MAR04365;MAR04363;MAR04358;MAR04388,0.07826691992709262
