feature,reaction_n,cms3_n,others_n,cms3_mean,others_mean,delta_cms3_minus_others,cms3_median,others_median,mannwhitney_p,mannwhitney_q_bh
Fatty acid biosynthesis,75,35,212,0.5365811483425298,0.4646397437419305,0.07194140460059928,0.5793644212146994,0.5624380173445593,0.013680027549232287,0.013680027549232287
Nucleotide synthesis,125,35,212,8.820231822501682,7.371761310473418,1.4484705120282646,7.870682347283401,7.292982308327447,0.0016473835409458843,0.0030420461410063404
ATP uptake,1,35,212,30.848396951026363,30.283581767457726,0.564815183568637,30.84614321036613,30.079410714503396,0.0020280307606708936,0.0030420461410063404
