analysis,input,preprocessing,distance_metric,test_space,n_samples,n_features,n_groups,R2,F,p_value,permutations,perm_ge_observed
PERMANOVA,shared reaction-level pFBA flux matrix,"raw pFBA flux, PCA",Euclidean,PCA30,949,12969,4,0.22863960589530669,93.36942421138419,0.001,999,0
PERMDISP,shared reaction-level pFBA flux matrix,"raw pFBA flux, PCA",Euclidean distance to group centroid,PCA30,949,12969,4,,21.653901040802186,0.001,999,0
