subsystem,GNN,GNN_mean_rank,GNN_mean_score,GNN_mean_n_reactions,XGBoost,XGBoost_mean_rank,XGBoost_mean_score,XGBoost_mean_n_reactions,combined_support
Cholesterol biosynthesis 3 (Kandustch-Russell pathway),15,15.333333333333334,0.0025591441167022,16.0,0,,,,15
Sulfur metabolism,15,16.0,0.0025464052384311,10.0,0,,,,15
"Phenylalanine, tyrosine and tryptophan biosynthesis",12,15.916666666666666,0.0019911353082668,157.0,2,14.5,2.556648169051517,11.0,14
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),13,14.153846153846152,0.0033164410329709,21.0,0,,,,13
Steroid metabolism,11,16.90909090909091,0.002712947031953,92.0,1,19.0,2.1946821212768555,4.0,12
Propanoate metabolism,8,18.5,0.0015839313597473,23.0,4,15.0,2.6818647384643555,1.0,12
Glycerolipid metabolism,10,18.5,0.0015481193239411,76.0,0,,,,10
Unknown,10,16.8,0.0013123697308412,115.0,0,,,,10
Riboflavin metabolism,0,,,,10,11.9,3.33935025036335,2.0,10
Ubiquinone synthesis,9,14.88888888888889,0.0033719807165065,10.0,0,,,,9
Folate metabolism,8,17.625,0.0016716996289329,64.0,0,,,,8
Androgen metabolism,7,17.285714285714285,0.0031845746776905,36.0,0,,,,7
Terpenoid backbone biosynthesis,3,17.666666666666668,0.0017100892563862,18.0,3,14.666666666666666,2.3260110219319663,1.0,6
Leukotriene metabolism,5,17.8,0.0009847539895654,170.0,0,,,,5
Omega-6 fatty acid metabolism,5,16.2,0.0019650979051557,59.0,0,,,,5
Peptide metabolism,5,19.2,0.0011975492630532,251.0,0,,,,5
Tyrosine metabolism,5,12.6,0.0041952590946621,78.0,0,,,,5
Pyruvate metabolism,4,18.25,0.0015141331323051,34.0,1,17.0,2.08634115755558,8.0,5
Omega-3 fatty acid metabolism,4,15.25,0.0022405653537264,74.0,0,,,,4
Acyl-CoA hydrolysis,3,19.0,0.0013306356855572,64.0,1,18.0,2.5119614943861963,60.0,4
Formation and hydrolysis of cholesterol esters,3,17.666666666666668,0.0014286809243527,179.0,0,,,,3
Metabolism of other amino acids,0,,,,3,17.0,2.3486607869466147,1.0,3
Galactose metabolism,2,9.5,0.0143062465681431,21.0,0,,,,2
Lysine metabolism,2,1.0,0.1517385592463498,41.0,0,,,,2
Eicosanoid metabolism,1,16.0,0.0021413451910061,60.0,0,,,,1
