reaction_id,reaction_name,subsystem,reaction_layer,source_model,active_group_count,active_groups,n_genes,annotated_genes,ensembl_gene_ids,civicmine_biomarker_rows,civicmine_citation_count,civicmine_prognostic_rows,civicmine_diagnostic_rows,civicmine_predictive_rows,civicmine_predictive_drug_rows,civicmine_unique_drugs,civicmine_unique_cancers,dgidb_interactions,dgidb_unique_drugs,dgidb_approved_drugs,dgidb_publication_pmids,dgidb_max_interaction_score,drugbank_source_interactions,drugbank_source_unique_drugs,opentargets_cancer_assoc_count_top200,opentargets_cancer_max_score_top200,opentargets_cancer_unique_clinical_drugs,opentargets_unique_clinical_drugs,opentargets_cancer_clinical_candidate_rows,matched_civicmine_biomarker_rows,matched_civicmine_predictive_drug_rows,matched_civicmine_active_groups,matched_opentargets_cancer_assoc_count_top200,matched_opentargets_cancer_max_score_top200,matched_opentargets_cancer_clinical_candidate_rows,matched_opentargets_cancer_unique_clinical_drugs,matched_opentargets_active_groups,matched_civicmine_biomarker_rows_present,matched_civicmine_predictive_drug_rows_present,matched_opentargets_cancer_max_score_top200_present,matched_opentargets_cancer_unique_clinical_drugs_present,dgidb_unique_drugs_present,dgidb_approved_drugs_present,drugbank_source_unique_drugs_present,cancer_matched_evidence_score,drug_interaction_evidence_score,total_binary_annotation_score,display_label,rank_score
MAR04583,S-Adenosyl-L-methionine:guanidinoacetate N-methyltransferase,Arginine and proline metabolism,Cancer-specific,XGBoost,3,"ACC,KIRP,OV",1,GAMT,ENSG00000130005,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,52.20379855888553,0.0,0.0,36.0,0.0739159709369403,0.0,0.0,0.0,0,0,,2,0.0739159709369403,0,0,KIRP,0,0,1,0,1,0,0,1,1,2,S-Adenosyl-L-methionine:guani... | GAMT,210.15
MAR03807,L-Ornithine:2-oxo-acid aminotransferase,Arginine and proline metabolism,Cancer-specific,XGBoost,3,"ACC,BLCA,THCA",1,OAT,ENSG00000065154,6.0,6.0,4.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,104.407597117771,1.0,1.0,5.0,0.0997545460495311,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,1,0,1,0,2,2,L-Ornithine:2-oxo-acid aminot... | OAT,200.15
MAR04175,glutathione gamma-glutamylaminopeptidase,Glutathione metabolism,Cancer-specific,XGBoost,1,OV,6,"GGT1, GGT5, GGT6, GGT7, GGTLC2, GGTLC3","ENSG00000099998, ENSG00000100031, ENSG00000100121, ENSG00000131067, ENSG00000167741, ENSG00000274252",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,OV,0,0.0,0,0,,1,0,0,0,0,0,0,1,0,1,"Glutathione | GGT1, GGT5, GGT...",111.6594379124341
MAR04600,ATP:deoxyguanosine 5'-phosphotransferase,Purine metabolism,Cancer-specific,GNN,4,"LIHC,LUSC,OV,TGCT",1,DGUOK,ENSG00000114956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,LUSC,0,0.0,0,0,,1,0,0,0,0,0,0,1,0,1,ATP:deoxyguanosine 5'-phospho... | DGUOK,111.5862943611199
MAR04040,IMP:NAD+ oxidoreductase,Purine metabolism,Cancer-specific,XGBoost,1,KIRP,2,"IMPDH1, IMPDH2","ENSG00000106348, ENSG00000178035",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,KIRP,0,0.0,0,0,,1,0,0,0,0,0,0,1,0,1,"IMP:NAD+ oxidoreductase | IMPDH1, IMPDH2",111.43629436111988
MAR04046,Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming),Purine metabolism,Cancer-specific,XGBoost,3,"LUAD,LUSC,OV",1,GMPS,ENSG00000163655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,OV,0,0.0,0,0,,1,0,0,0,0,0,0,1,0,1,Xanthosine-5'-phosphate:L-glu... | GMPS,110.84314718055997
MAR03899,L-Alanine:2-oxoglutarate aminotransferase,"Alanine, aspartate and glutamate metabolism",Cancer-specific,GNN,2,"ACC,COAD",1,GPT,ENSG00000167701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,COAD,0,0.0,0,0,,1,0,0,0,0,0,0,1,0,1,L-Alanine:2-oxoglutarate amin... | GPT,110.79314718055994
MAR00667,"1,2-diacyl-sn-glycerol acylhydrolase",Acylglycerides metabolism,Cancer-specific,GNN,1,KIRP,15,"AADAC, CEL, DAGLA, DAGLB, LIPC, LIPE, LIPF, LIPG, PNLIP, PNLIPRP1, PNLIPRP2, PNLIPRP3, PNPLA2, PNPLA3, PNPLA4","ENSG00000006757, ENSG00000079435, ENSG00000100344, ENSG00000101670, ENSG00000114771, ENSG00000134780, ENSG00000164535, ENSG00000166035, ENSG00000170835, ENSG00000175535, ENSG00000177666, ENSG00000182333, ENSG00000187021, ENSG00000203837, ENSG00000266200",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,KIRP,0,0.0,0,0,,1,0,0,0,0,0,0,1,0,1,"1,2-diacyl-sn-glycerol acylhy... | AADAC, CEL, DAG...",110.74314718055994
MAR00679,1-acylglycerol acylhydrolase,Acylglycerides metabolism,Cancer-specific,GNN,1,KIRP,3,"ABHD12, ABHD6, MGLL","ENSG00000074416, ENSG00000100997, ENSG00000163686",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,KIRP,0,0.0,0,0,,1,0,0,0,0,0,0,1,0,1,"1-acylglycerol acylhydrolase | ABHD12, ABHD6...",110.74314718055994
MAR06782,MAR06782,"Phenylalanine, tyrosine and tryptophan biosynthesis",Cancer-specific,GNN,4,"BLCA,KIRC,LIHC,PRAD",0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,MAR06782 | gene not mapped,0.2
